numero_guia_consulta,cod_medico,nome_medico,data_consulta,valor_consulta
309,57274,KATIELLY,2019-03-28,60.0
312,85892,SANTONINO,2019-01-28,60.0
108,98883,WIVERTON,2018-11-24,45
316,80224,RARIELI,2019-03-05,60.0
318,81422,RAIANI,2019-03-14,60.0
112,71985,NAIRANE,2019-07-03,45
322,82714,ROGELIA,2018-10-25,60.0
323,29955,HENIQUE,2018-06-25,60.0
332,70934,MIUTON,2019-02-24,60.0
116,71804,NAGIMA,2018-10-19,45
336,96380,WALAFI,2018-08-25,60.0
118,98553,WILLA,2018-01-28,45
119,15625,CLEIDINALVA,2018-10-17,45
340,51370,GILBERTO,2018-10-10,60.0
122,8190,ARLICE,2019-04-27,45
341,84404,ROVILIO,2019-06-04,60.0
124,95731,VILANDER,2018-01-14,45
345,62891,LIONICIO,2018-12-19,60.0
126,7133,ANDRIE,2018-04-29,45
127,37041,GERSINO,2019-07-27,45
128,77561,OSMARI,2018-04-01,45
129,16647,CLODOALDA,2018-07-23,45
130,34388,FRANCICLEA,2019-04-13,45
351,25027,EDILELSON,2018-09-22,60.0
132,90367,TASSIANO,2019-03-05,45
352,11539,DIRACI,2019-02-08,60.0
367,80551,REBECCA,2018-05-03,60.0
389,54466,JOSIELITON,2019-02-18,60.0
395,53753,JOSELANEA,2019-03-26,60.0
137,41103,EGIDIO,2019-07-10,45
139,74947,NIRES,2019-05-28,45
138,89808,TAIRINE,2019-07-22,60.0
146,43283,IARLEN,2018-03-15,60.0
142,21243,DEIGLISON,2018-06-17,45
143,6402,ANACELIO,2019-11-11,45
144,17622,DAG,2018-01-04,45
149,96616,WALDOMIR,2018-10-14,60.0
147,6130,AMARILIS,2019-08-20,45
154,5052,ALICE,2018-08-09,60.0
170,51878,JOANIR,2019-04-11,60.0
171,97788,WENDRIK,2018-11-18,60.0
179,76069,ODINALDO,2019-08-01,60.0
190,23447,DORANI,2018-11-26,60.0
155,43996,IGRO,2019-06-07,45
205,41695,ENDREY,2018-04-17,60.0
214,41542,ELOINA,2018-07-10,60.0
225,10084,AURENEIDE,2019-07-27,60.0
228,87106,SIDANIA,2018-07-04,60.0
240,36726,GERCILEIA,2019-12-17,60.0
241,15971,CLEODENICE,2019-04-08,60.0
162,12676,CARMIRANDO,2019-05-10,45
242,69229,MAIS,2019-10-08,60.0
248,3448,ALBANITO,2018-11-23,60.0
165,78690,PLABIO,2018-12-07,45
166,5633,ALTEREDO,2019-07-10,45
167,77364,OSARIO,2019-01-01,45
249,15731,CLEIRI,2018-01-03,60.0
169,51634,GISLENE,2018-07-15,45
255,14648,CLAISTON,2019-01-08,60.0
173,18258,DANDALO,2019-03-31,45
174,50893,GEUVANE,2018-10-05,45
175,28026,ELIONALDO,2018-10-24,45
257,8063,APOLLO,2018-07-24,60.0
177,37334,JESUA,2018-08-10,45
178,81024,REMITON,2018-05-12,45
180,19351,DILSON,2019-12-12,45
181,38924,GLACIENE,2018-08-02,45
182,51188,JHONATTAN,2019-01-22,45
261,17007,CREODETE,2019-04-02,60.0
268,45115,IRACELMA,2019-11-30,60.0
271,41254,LENICIA,2019-02-06,60.0
186,34165,FLORISBALDO,2018-12-28,45
272,1778,ADIRSON,2018-07-30,60.0
403,44736,INDAIARA,2018-02-03,60.0
408,13341,CELISVALDO,2018-08-03,60.0
414,32294,EURIDIA,2019-01-13,60.0
427,99631,YOUSSEF,2018-04-23,60.0
193,12791,KARIN,2019-01-09,45
194,16842,CORDULA,2019-09-27,45
195,66338,MAILSON,2019-03-28,45
196,93234,VALCLICIA,2018-01-05,45
197,9851,AUDECIO,2018-07-27,45
198,83228,RONILSO,2018-11-01,45
199,63637,LORIANA,2018-11-25,45
437,9054,ARMEZINA,2018-06-08,60.0
463,75193,NOANA,2019-03-08,60.0
202,73535,NELSIANA,2018-05-21,45
465,70966,MISLENE,2018-08-13,60.0
204,53421,JORGIEL,2019-08-30,45
206,16297,CLEUDON,2019-05-20,45
207,17226,CRISMENIA,2018-09-13,45
467,5779,ALVANO,2018-01-24,60.0
484,17250,CRISOSTENES,2018-12-15,60.0
486,37541,GIANI,2018-08-28,60.0
487,83006,ROMILDO,2019-08-10,60.0
494,58313,KETELLY,2018-01-02,60.0
509,35877,GISLANE,2019-05-29,60.0
215,76352,OLEGARIA,2019-10-15,45
510,3985,ALDEIA,2019-03-12,60.0
542,9615,ATANASIA,2018-07-05,60.0
543,62984,ELISANGELA,2019-10-03,60.0
219,2287,ADRIELL,2018-03-28,45
544,87388,SELCO,2018-10-02,60.0
221,95796,VILENE,2019-09-11,45
222,14907,CLAUDENES,2019-06-24,45
545,31930,EUDENIRA,2018-10-30,60.0
224,14539,CLACIANA,2018-12-25,45
226,82399,ROBERTANIA,2018-01-23,45
549,1492,ADEVITA,2018-04-19,60.0
229,65848,MAGNAIR,2018-05-28,45
551,70075,MICIANA,2019-10-02,60.0
231,80229,RARISON,2019-01-03,45
564,89008,SUERLI,2018-11-18,60.0
573,88729,STEICE,2018-07-07,60.0
588,64887,LELIO,2018-12-17,60.0
599,90939,TERSON,2019-08-14,60.0
236,30492,ERIDSON,2018-01-31,45
237,66829,MARCIONIRA,2018-09-04,45
238,75935,ODENILSON,2019-11-12,45
239,98825,WISLAINE,2019-02-02,45
243,23187,DELIA,2018-11-22,45
600,32372,EUZANIR,2018-04-30,60.0
606,44028,IJOEL,2018-10-25,60.0
618,83454,ROSELENA,2019-11-14,60.0
619,20647,BERLIM,2019-04-26,60.0
625,96673,WALIF,2019-08-17,60.0
626,11168,BENITA,2019-08-24,60.0
252,27287,LEUDI,2019-07-06,45
664,87875,SINDICLEI,2018-07-30,60.0
668,80517,RAISLANE,2018-03-29,60.0
256,38547,GIRLEINE,2019-04-29,45
669,25069,EDIMEA,2019-04-14,60.0
675,55126,JUCILENO,2019-10-06,60.0
690,88021,SIRILA,2018-08-26,60.0
700,2633,AGLAIRTON,2019-08-22,60.0
704,18749,DARLETI,2018-08-26,60.0
264,68886,MAURINO,2018-04-22,45
706,70457,MINEIRO,2019-06-24,60.0
266,44313,ELEMAR,2019-09-12,45
711,23600,DORIVALDO,2018-03-29,60.0
726,26612,ELIAN,2019-12-11,60.0
270,78298,PATRICI,2019-08-13,45
273,86732,CHALANA,2019-10-30,45
274,59832,LARA,2018-11-19,45
275,33555,FARIZA,2018-04-02,45
277,1493,ADIR,2019-06-24,60.0
294,75306,NOESIO,2018-09-24,60.0
295,39530,GLEIDISON,2018-04-03,60.0
307,32878,EVENI,2019-08-17,60.0
320,46474,ITATIANA,2019-12-16,60.0
329,60467,LAZARA,2018-04-08,60.0
283,18354,DANIEVERSON,2019-07-10,45
284,48331,JAMILE,2019-06-29,45
285,34227,FONTES,2019-07-30,45
347,47984,JAILSSON,2018-02-24,60.0
287,59867,LARIELLY,2019-09-14,45
288,2889,IAGO,2018-08-05,45
289,19252,DEGNA,2019-03-20,45
290,34169,FLORISDETE,2019-11-18,45
291,15271,CLAUTERIO,2019-07-30,45
292,59182,KLISMAN,2018-05-16,45
293,7319,ANELISIA,2018-06-06,45
296,19091,DAIVIDSON,2019-06-10,45
349,70493,MIQUELANE,2018-12-26,60.0
298,38363,GINAIR,2018-07-19,45
356,75287,NOEMEA,2019-10-29,60.0
357,27980,ELIODORA,2018-07-14,60.0
377,42099,ERNO,2018-11-25,60.0
302,54875,JUANILSON,2018-07-28,45
379,10559,LIN,2018-12-17,60.0
384,67015,MARENILDA,2019-01-23,60.0
385,92742,IRAN,2019-11-09,60.0
401,100178,ZENE,2019-09-29,60.0
739,57235,KATRINI,2018-08-05,60.0
749,64756,LIGIA,2019-07-15,60.0
750,40080,GREICIKELE,2018-07-07,60.0
761,58682,KESE,2019-08-23,60.0
769,36520,GEONICE,2019-10-13,60.0
313,52275,JOCIMERI,2018-05-26,45
771,64919,ELHO,2019-05-21,60.0
315,64105,LUCERLANDIA,2018-01-28,45
787,54482,JOSVANIA,2018-05-01,60.0
317,98684,WILNA,2019-03-07,45
796,68016,MARCILENE,2018-12-06,60.0
799,14605,CLAIDES,2019-04-20,60.0
810,16371,CLEUTA,2019-01-25,60.0
817,20170,BENA,2018-10-25,60.0
821,1804,ADIVANETE,2018-12-26,60.0
324,20589,DERICSON,2018-01-01,45
325,80707,REGINELE,2019-04-01,45
825,36961,GERNITA,2018-07-23,60.0
826,28098,ELIZELDA,2018-11-12,60.0
833,7272,ANEKELLY,2019-11-12,60.0
330,82947,ROMERICA,2019-10-14,45
834,15334,CLEANIO,2019-03-23,60.0
837,30581,ERILVALDO,2018-01-28,60.0
841,98235,WEIDER,2019-03-29,60.0
334,69445,MEIRIVANIA,2018-12-15,45
335,70909,MITSUE,2019-01-11,45
850,2138,ADRINA,2018-11-19,60.0
337,60389,LAWANY,2019-04-16,45
338,80203,RARIELE,2018-04-20,45
853,18188,DAMARIS,2019-09-07,60.0
858,41011,EDER,2018-06-09,60.0
876,1276,ADENILSE,2018-04-18,60.0
342,86756,SHANA,2019-02-12,45
343,91897,TIMO,2018-04-26,45
344,67316,MARILSO,2019-12-15,45
886,50972,JESUS,2019-11-01,60.0
897,52305,JOCIVALDO,2019-03-14,60.0
348,63481,LOIVA,2018-08-08,45
898,72647,NATALICE,2018-05-16,60.0
901,92572,UERICO,2018-06-16,60.0
912,39687,JOISE,2018-11-24,60.0
353,53138,JONIELI,2019-09-20,45
354,85318,SILECIA,2018-04-15,45
923,11368,BERTINO,2018-01-06,60.0
358,11688,BRANA,2019-02-05,45
359,100743,SOLIMAR,2019-02-26,45
925,69121,MAICKE,2019-05-05,60.0
930,93153,VALCILENE,2019-06-01,60.0
940,61658,LESLANE,2019-04-19,60.0
363,8589,ARILZA,2019-09-13,45
941,60684,LEDI,2019-09-06,60.0
951,83518,ROSANDIRA,2019-08-01,60.0
956,42697,IVAN,2019-10-10,60.0
972,18353,DANIETE,2019-01-19,60.0
368,23555,DORILO,2018-03-23,45
369,8783,ARISTELIO,2018-08-19,45
370,24238,ECILA,2019-11-06,45
371,19610,DEGIANE,2018-11-25,45
975,90002,TALUANE,2019-07-15,60.0
373,23928,DULCIDALVA,2019-08-26,45
983,48178,JAILDE,2019-07-18,60.0
1008,31974,EUDINEI,2019-02-26,60.0
1016,100528,SINEI,2019-05-30,60.0
1020,42355,IDELMA,2019-06-18,60.0
380,8659,ARIMILSON,2019-10-31,45
1037,24164,EDERALDO,2018-05-13,60.0
382,98621,WILLIMA,2019-05-09,45
1043,97838,WENIA,2018-02-28,60.0
1048,77397,OZIEL,2019-02-01,60.0
387,95034,VANILEIDE,2019-08-21,45
1055,100119,SUELLY,2018-12-03,60.0
1061,19089,DAIVID,2019-01-26,60.0
1066,53350,JORDIANE,2018-02-19,60.0
391,1494,ADILSON,2018-07-04,45
392,2114,ADRINA,2018-06-10,45
393,35820,GISELE,2018-02-26,45
1068,84084,ROSIMARO,2019-12-23,60.0
1089,17784,DAIRTON,2019-11-22,60.0
396,68783,MAUNA,2019-08-16,45
397,37286,JESSIELI,2019-08-29,45
398,68458,MARTINELLI,2018-07-09,45
1090,57853,KELVINI,2019-02-28,60.0
1108,61517,LEONA,2019-03-17,60.0
402,99884,SUIANY,2019-03-27,45
1110,27858,ELIMARA,2018-06-20,60.0
404,84961,RUZINETE,2018-05-14,45
405,86872,SHELLEN,2018-07-03,45
406,62236,LIDUINO,2019-09-18,45
407,61400,LEONDAS,2019-05-16,45
1115,86122,SCHIRLE,2019-12-15,60.0
409,57307,KAUAI,2019-10-20,45
411,4212,ALDICELIO,2019-09-07,45
410,72835,NAIR,2018-01-13,60.0
413,62684,LINDNALVA,2019-06-28,45
416,38979,GLADISTONE,2019-03-24,60.0
420,75606,NIDIA,2019-08-25,60.0
417,37480,JESICA,2019-08-31,45
418,21054,DEUSEDINA,2018-04-14,45
443,63190,LIVIA,2018-09-29,60.0
421,94509,VANDECARLOS,2018-06-14,45
451,51974,JOAQUM,2019-09-08,60.0
423,90468,TAUAN,2019-10-13,45
459,55580,GILMARA,2018-07-04,60.0
425,580,ADAISE,2018-06-17,45
426,62306,ELIES,2018-01-10,45
461,33266,EZILEIA,2018-01-29,60.0
428,75947,ODENISE,2018-10-07,45
429,71874,NAIDA,2018-01-25,45
430,57473,KECIO,2018-10-04,45
469,74431,NICI,2018-03-17,60.0
473,44795,INEIS,2019-04-12,60.0
433,26856,ALDENISE,2019-09-16,45
434,95668,VICTAL,2018-07-07,45
478,100514,SINALVA,2018-09-14,60.0
481,83297,RONISSON,2019-06-24,60.0
491,78422,PEDROSINA,2018-11-18,60.0
438,69704,MERCIENE,2018-09-11,45
497,29390,EMERICO,2018-04-15,60.0
440,91406,TAIARA,2018-04-28,45
501,15414,CLEDILSON,2019-10-13,60.0
515,33047,EVILA,2018-01-22,60.0
516,8203,ARAMISIO,2018-04-15,60.0
517,56664,KAMI,2018-04-01,60.0
523,25670,EDILAZIO,2019-09-30,60.0
447,81640,RICELIO,2019-11-09,45
448,22062,DYLLAN,2019-07-12,45
449,85256,ZAIDA,2018-07-03,45
450,54967,JUCELHA,2019-02-18,45
524,25082,EDILNA,2019-01-02,60.0
453,26096,EDEILDA,2019-12-21,45
454,78543,PETERSON,2019-03-15,45
529,81314,REUBEN,2018-05-31,60.0
530,32803,EVELIN,2018-01-06,60.0
457,9584,ATALIBAS,2019-01-28,45
458,78406,PEDRIANA,2019-04-30,45
535,36401,GENIZETE,2018-02-13,60.0
462,24085,DIELE,2019-10-02,45
538,84890,RUAN,2019-04-22,60.0
464,61296,LEODIANE,2018-06-27,45
540,67005,MARILZA,2019-01-17,60.0
1117,77438,OZIANE,2019-02-02,60.0
1118,92561,UENES,2019-08-24,60.0
1120,73422,NILDETE,2018-05-11,60.0
1133,73342,NEIVO,2018-10-20,60.0
1134,6299,AMINADA,2018-09-08,60.0
1135,61491,LEONINO,2019-04-11,60.0
474,30537,ERICSON,2019-04-03,45
475,75409,NORBELIA,2018-07-27,45
476,68011,MARCIEL,2018-07-23,45
477,57943,KENDEL,2019-07-26,45
1140,73437,NILEIDE,2019-01-14,60.0
480,82912,ROMEL,2018-10-06,45
1150,58836,CINARA,2019-04-13,60.0
1151,56608,KELLIANE,2019-08-27,60.0
1163,17921,DILENE,2018-06-05,60.0
1172,23200,DALIRIO,2018-05-29,60.0
1189,60355,LAVI,2018-07-30,60.0
1191,27202,LEONETE,2018-10-16,60.0
488,60844,ELIEL,2019-11-18,45
1193,20973,DEUSINEI,2018-02-10,60.0
490,71147,MONIZA,2019-05-07,45
492,54212,JOSIMAURO,2018-09-30,45
493,5789,ALVARINA,2019-08-05,45
1194,32920,EVERALDO,2018-04-25,60.0
1195,51109,GEOVANA,2018-08-08,60.0
1202,98541,WILLAMY,2018-10-22,60.0
498,67522,MARILTA,2018-06-10,45
1203,20985,DEUSIRE,2019-08-30,60.0
1210,90027,TALITA,2019-09-08,60.0
1212,48179,GILBERT,2019-10-07,60.0
503,98840,WISLLEY,2018-11-15,45
1213,51278,JULIENI,2019-12-08,60.0
1228,61308,LEODIVA,2018-05-15,60.0
506,33849,FILHA,2018-02-14,45
507,58521,KEUCILENE,2018-10-08,45
508,30620,ERINEUDA,2019-03-20,45
1231,73934,NEUCIRA,2018-05-20,60.0
1233,20273,DENILTON,2019-05-04,60.0
1255,21529,DUAN,2019-10-20,60.0
512,59571,ALLINE,2018-02-07,45
513,716,ADAMARA,2019-10-11,45
514,43908,EULER,2018-06-11,45
518,74808,NILVAN,2019-07-08,45
519,37680,GIEZI,2019-12-25,45
1256,73722,NERCILENE,2018-10-06,60.0
1257,28390,LIVIANE,2018-02-07,60.0
522,52763,JOICEKELLY,2019-04-12,45
525,7674,ANITON,2018-03-23,45
526,54346,JOSMAEL,2019-12-10,45
1260,95550,VERNON,2019-04-21,60.0
528,9564,ATAINARA,2019-09-12,45
1263,51466,GILMARCIO,2018-04-06,60.0
532,29646,ENAN,2018-07-07,45
1270,20615,DERIVAN,2018-07-17,60.0
1281,100422,SILDILENE,2019-10-30,60.0
536,78921,PRISCILA,2019-01-06,45
537,14598,CLAIANE,2018-08-24,45
539,3605,ALDINEIA,2018-10-11,45
541,35911,GILCILEIA,2018-09-11,45
1283,4494,ELILDES,2019-02-14,60.0
1285,4791,ALEXES,2019-11-18,60.0
1286,26381,EGLI,2018-09-03,60.0
550,60778,LEIDILENE,2018-11-10,60.0
554,5826,ELVERSON,2018-09-30,60.0
557,69207,MAIQUELI,2019-09-29,60.0
548,47907,JAIDER,2019-04-01,45
560,93917,VALDO,2018-12-27,60.0
563,22930,DIVONEIDE,2018-07-13,60.0
571,51815,GLESON,2018-12-04,60.0
553,83305,RONIVALDO,2018-05-06,45
555,19004,DAIANDRA,2018-05-31,45
556,64651,LUDWIG,2018-04-18,45
558,31798,ETSUKO,2019-05-30,45
572,28260,ELISNEIA,2018-08-23,60.0
561,31723,ETELCA,2019-01-19,45
596,58999,CLEBSON,2019-01-23,60.0
601,58356,KETY,2019-11-02,60.0
565,63095,ELISSANA,2019-04-30,45
566,18903,DAURIENE,2018-02-22,45
602,50104,JENNFER,2019-05-11,60.0
568,81538,RUANA,2019-12-25,45
569,17159,CRISIANE,2018-05-01,45
617,57311,CAI,2019-01-16,60.0
632,71597,NADIANA,2018-03-02,60.0
634,94355,VALTERLINA,2018-08-09,60.0
575,20671,DERMI,2019-12-02,45
576,85972,SASCHA,2018-10-14,45
577,98766,WINICIOS,2019-05-24,45
578,59447,ELIELZA,2019-11-06,45
579,91928,TYRONE,2019-06-21,45
638,7629,ANAILZA,2019-10-26,60.0
641,50370,GERCIANE,2019-05-02,60.0
582,71418,MICAELA,2018-08-21,45
583,31195,ERVANDIL,2019-11-27,45
584,2870,AIDINA,2019-11-02,45
649,36965,GERO,2019-09-28,60.0
586,62253,ELIEDE,2018-03-21,45
587,100460,SILMARA,2019-11-05,45
655,89429,SUZIMERE,2018-11-21,60.0
657,20958,DEUSILENI,2019-05-30,60.0
663,92712,ELMO,2018-01-10,60.0
591,11324,BERNARDETE,2018-08-24,45
592,21795,DIENI,2019-06-16,45
593,91975,TOLEDO,2018-07-06,45
594,34625,FRANCINEIS,2018-11-14,45
1292,68109,MARILIA,2018-11-30,60.0
1311,29723,ENDREL,2018-10-27,60.0
1316,96941,WANDERLAN,2018-09-20,60.0
1322,52694,JOANA,2018-07-16,60.0
1329,63422,ELOIA,2018-05-03,60.0
1330,25100,EDILUCE,2019-07-26,60.0
1333,67254,MARIDELIA,2018-04-21,60.0
605,58328,KETLIN,2019-12-26,45
1344,26946,LEANDRO,2019-07-23,60.0
1346,41582,ALTA,2018-10-09,60.0
1364,22183,DIMITRI,2018-08-06,60.0
1374,43600,IDELFRAN,2019-12-08,60.0
610,12507,CARLEILSON,2018-09-26,45
1377,97706,WEMISON,2018-10-11,60.0
612,82891,ROMARCIO,2018-12-30,45
613,7274,ANALIANE,2019-05-01,45
1397,30761,ERIVANIA,2018-09-23,60.0
615,73981,NEUMIR,2019-10-02,45
1403,27076,LENAURA,2019-04-23,60.0
1404,97459,WELINTON,2019-09-27,60.0
1409,8056,APOENA,2019-08-19,60.0
620,40362,GUIMARAES,2019-05-26,45
621,20365,DENER,2018-01-22,45
622,45518,IRINEUDO,2018-10-26,45
1427,63451,LOIMAR,2019-08-01,60.0
624,60814,LEIDIVAN,2018-03-10,45
1430,4375,ALDROVANDO,2019-07-27,60.0
1432,91188,TALLITA,2018-05-02,60.0
627,45152,IRACINA,2018-12-11,45
628,12082,CAIUA,2019-04-14,45
1433,100550,SIRLANDIA,2018-04-15,60.0
1451,57369,KAIANY,2019-06-24,60.0
631,64343,LUCIMAGNA,2019-12-01,45
633,53642,JOSEBIO,2018-12-18,45
635,57337,KAURY,2019-01-23,45
1458,21311,DESE,2019-12-25,60.0
637,100194,ZENETE,2018-10-09,45
639,25950,EDNISE,2018-05-09,45
1466,75721,OCILANE,2019-10-02,60.0
642,42727,HOFFMAN,2018-12-22,45
643,70680,MIRIO,2019-11-26,45
644,70759,MIRTE,2018-09-18,45
645,48376,JAMIRO,2019-02-08,45
646,67839,MARISTANIA,2018-09-20,45
647,41221,ELDON,2019-09-10,45
1472,22910,DIVIN,2019-11-12,60.0
650,6028,AMABILI,2019-12-20,45
1476,695,ADAILTON,2019-12-09,60.0
652,39334,GLEIBIA,2017-12-31,45
653,76196,OESIO,2019-01-27,45
654,71034,MOARA,2018-01-27,45
1478,100343,SONG,2018-11-08,60.0
658,41243,LENIA,2019-02-07,45
659,97192,WASINGTON,2019-05-02,45
1487,40862,ARLLEN,2019-12-18,60.0
661,100004,SEBASTIAO,2018-09-18,45
1489,27737,ELIETH,2019-08-09,60.0
1497,28237,ELISMAR,2018-03-29,60.0
665,68774,MAUDI,2019-10-17,45
1510,8931,ARLEN,2018-12-07,60.0
667,61916,LEZI,2018-02-27,45
1514,4754,ALEXADRE,2019-01-11,60.0
1521,24051,DUSTIN,2019-09-15,60.0
1526,95331,VENI,2018-11-10,60.0
1530,9069,ARMIN,2019-02-24,60.0
672,79681,RAIRES,2018-11-15,45
673,57801,CELME,2018-11-07,45
674,49966,JEMISSON,2018-10-23,45
1555,37067,GERSONILDO,2018-11-14,60.0
1561,38618,GISELA,2019-01-22,60.0
1566,63787,LUDE,2019-10-31,60.0
1570,670,ADELMA,2018-12-22,60.0
679,73259,NILSE,2018-10-20,45
1578,99464,IORAN,2018-10-31,60.0
686,64564,LUDEMIR,2019-02-13,60.0
693,73049,NEANDERSON,2019-12-27,60.0
699,17379,CRISTOBAL,2018-11-20,60.0
684,54520,JUSIANE,2019-02-13,45
701,28487,ELISANGELA,2019-09-18,60.0
687,59714,LAMBERT,2018-10-17,45
688,53142,JONILSON,2018-04-10,45
689,88165,SIVONEI,2019-02-01,45
725,24915,EDIGLEISON,2018-08-06,60.0
691,10188,AURILENA,2019-10-03,45
692,76212,OGENIO,2019-06-27,45
729,97101,WANUZIA,2019-04-18,60.0
735,9968,AUGUSTINHA,2019-02-26,60.0
696,97650,WILSE,2019-02-02,45
697,92744,UIRASSU,2019-04-05,45
698,62258,LIEDISON,2018-10-18,45
737,77249,ORONILDO,2018-08-02,60.0
741,16349,CLEUSENICE,2019-12-13,60.0
703,87497,SILLENE,2019-10-24,45
742,2783,AGUIMON,2018-08-28,60.0
705,47087,EIZABETH,2018-06-26,45
753,21187,DEVERCI,2018-12-22,60.0
763,90426,TATIELSON,2018-05-20,60.0
764,68817,MAURICI,2019-03-26,60.0
767,11578,BLAION,2019-03-06,60.0
710,15359,CLEBERT,2018-03-08,45
774,88355,SUELI,2019-05-30,60.0
712,80713,REGINEUDO,2019-04-18,45
713,62449,LILO,2018-12-12,45
779,89406,SUZIELE,2018-09-21,60.0
780,98934,WILLIANE,2019-09-01,60.0
781,1481,ADEVENIL,2018-06-30,60.0
717,30516,ERIGLEICE,2019-12-25,45
718,8264,ARCENI,2018-05-12,45
719,72356,NARIELLY,2018-06-19,45
782,74704,NOELIA,2018-10-25,60.0
721,4040,ALDEMAN,2019-07-06,45
785,73886,NETE,2018-05-19,60.0
1582,99137,WILIA,2019-09-06,60.0
1585,43691,IDENIR,2018-05-17,60.0
1588,63150,LIV,2019-06-09,60.0
1589,32602,EVANILDES,2019-03-23,60.0
1615,82005,RISELI,2019-11-17,60.0
1617,91712,TUANI,2019-07-06,60.0
731,28603,LISTER,2019-11-07,45
732,26981,ELEDILVA,2018-10-16,45
1622,68349,MARQUISIA,2019-11-27,60.0
734,77551,OSMARIM,2019-06-26,45
1625,95425,VERCIDINO,2018-06-12,60.0
738,4497,ELIELZA,2018-05-26,45
1626,56811,CARLANA,2019-05-10,60.0
740,46161,ISMERIO,2018-04-15,45
1649,74604,NILCESAR,2018-01-15,60.0
1653,62537,LINDALVINA,2019-08-04,60.0
1655,51263,JUAN,2019-04-07,60.0
746,7162,ANDRILEIA,2019-08-10,45
747,54763,JOSEMAR,2019-04-08,45
748,32394,EUZIMAR,2018-06-13,45
1658,27214,LEONILSON,2019-06-17,60.0
1660,22814,DIUNE,2019-10-06,60.0
751,90141,TANDERSON,2018-10-05,45
1666,35463,JEAN,2019-01-02,60.0
